points,price,province,region_1,region_2,variety,winery
88,60.0,California,Carneros,Napa-Sonoma,Chardonnay,Grgich Hills
88,30.0,Washington,Yakima Valley,Columbia Valley,Merlot,Apex
88,38.0,California,Sonoma County,Sonoma,Zinfandel,Benovia
88,10.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Chateau Ste. Michelle
88,8.0,Washington,Washington,Washington Other,Gewürztraminer,Columbia Crest
88,28.0,California,Santa Ynez Valley,Central Coast,Tempranillo,Curran
91,38.0,California,Chalone,Central Coast,Pinot Noir,Bailiwick
91,38.0,California,Sonoma Mountain,Sonoma,Pinot Noir,Bailiwick
91,28.0,California,St. Helena,Napa,Petite Sirah,Ballentine
91,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sangiovese,K Vintners
91,52.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
91,50.0,California,Napa Valley,Napa,Meritage,Trinchero
91,36.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Draxton
91,38.0,California,St. Helena,Napa,Syrah,Four Cairn
88,50.0,California,Russian River Valley,Sonoma,Sparkling Blend,VML
88,48.0,California,Russian River Valley,Sonoma,Pinot Noir,VML
88,14.0,California,Central Coast,Central Coast,G-S-M,Hahn
88,46.0,California,Russian River Valley,Sonoma,Pinot Noir,Anaba
88,27.0,Oregon,Willamette Valley,Willamette Valley,Sparkling Blend,Argyle
88,35.0,California,Carneros,Napa-Sonoma,Pinot Noir,Frank Family
88,15.0,Oregon,Umpqua Valley,Southern Oregon,Riesling,Girardet
88,50.0,California,Santa Barbara County,Central Coast,Syrah,Jaffurs
88,26.0,California,Santa Barbara County,Central Coast,Syrah,Lucas & Lewellen
88,25.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cabernet Sauvignon,Lujon
87,25.0,Oregon,Rogue Valley,Southern Oregon,Syrah,J. Scott Cellars
87,30.0,California,Russian River Valley,Sonoma,Merlot,Merriam
87,20.0,New York,New York,New York Other,Pinot Noir,Millbrook
87,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Moshin
87,27.0,Washington,Horse Heaven Hills,Columbia Valley,Tempranillo,Ott & Murphy
87,13.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Lamoreaux Landing
87,13.0,California,California,California Other,Sauvignon Blanc,Avant
87,17.0,California,Amador County,Sierra Foothills,Rosé,Borjón
87,30.0,California,Sonoma County,Sonoma,Rhône-style Red Blend,Sanglier Cellars
87,16.0,California,Contra Costa County,Central Coast,Rosé,Three
87,40.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Three of Cups
83,14.0,California,Lodi,Central Valley,Red Blend,Peirano
83,24.0,California,Sonoma Coast,Sonoma,Pinot Noir,Garnet Vineyards
82,22.0,California,Napa Valley,Napa,Chardonnay,Ca' Momi
82,8.0,California,California,California Other,Cabernet Merlot,Woodbridge by Robert Mondavi
84,22.0,Washington,Ancient Lakes,Columbia Valley,Chardonnay,Voila!
84,10.0,Washington,Washington,Washington Other,Riesling,Perimeter
84,30.0,California,Napa Valley,Napa,Pinot Noir,Rippey
84,12.0,Washington,Columbia Valley (WA),Columbia Valley,Rosé,Waterbrook
84,14.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Merlot,Barnard Griffin
84,23.0,California,California,California Other,Red Blend,Bota Box
84,28.0,Washington,Columbia Gorge (WA),Washington Other,Pinot Noir,Jacob Williams
87,37.0,California,Central Coast,Central Coast,Pinot Noir,Testarossa
87,95.0,California,Santa Barbara County,Central Coast,Cabernet Sauvignon,Feliz Noche
86,48.0,California,Russian River Valley,Sonoma,Pinot Noir,A.P. Vin
86,15.0,California,Dry Creek Valley,Sonoma,Merlot,Chelsea Goldschmidt
86,22.0,California,Paso Robles,Central Coast,Sangiovese,Eberle
86,26.0,California,Alexander Valley,Sonoma,Chardonnay,Huntington
91,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Spring Valley Vineyard
91,65.0,California,Russian River Valley,Sonoma,Pinot Noir,Tobacco Road
91,34.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Trust
91,30.0,Washington,Washington,Washington Other,Red Blend,Walla Walla Vintners
