points,price,province,region_1,region_2,variety,winery
87,14.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Rainstorm
87,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Sweet Cheeks
87,19.0,California,Napa Valley,Napa,Cabernet Sauvignon,Kirkland Signature
87,34.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Louis M. Martini
87,12.0,California,Central Coast,Central Coast,Chardonnay,Mirassou
87,20.0,Oregon,Oregon,Oregon Other,Pinot Noir,Acrobat
87,22.0,California,Paso Robles,Central Coast,Merlot,Bianchi
87,69.0,California,Sonoma Coast,Sonoma,Pinot Noir,Castello di Amorosa
86,16.0,California,Clarksburg,Central Valley,Chenin Blanc,Clarksburg Wine Company
86,50.0,California,Dry Creek Valley,Sonoma,Red Blend,Envolve
86,20.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Envolve
86,50.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Erath
86,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Hawkins Cellars
86,14.0,California,Paso Robles,Central Coast,Sauvignon Blanc,Robert Hall
85,30.0,California,Napa Valley,Napa,Chardonnay,RustRidge
85,14.0,California,North Coast,North Coast,Chardonnay,Souverain
86,55.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Mellisoni
86,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Okapi
86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Ram
86,26.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Sevtap
86,46.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Basel Cellars
86,12.0,California,California,California Other,Red Blend,Cocobon
86,12.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Drumheller
86,40.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Eco Terreno
86,75.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Hindsight
86,55.0,California,Calistoga,Napa,Petite Sirah,Hindsight
86,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Mulvane Wine Co.
86,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Z'IVO
86,24.0,California,Napa Valley,Napa,Zinfandel,Napa Cellars
86,20.0,Washington,Ancient Lakes,Columbia Valley,Albariño,Palencia
86,55.0,California,Knights Valley,Sonoma,Merlot,Passaggio
88,23.0,California,Sonoma County,Sonoma,Red Blend,Ferrari-Carano
88,18.0,California,Sonoma Coast,Sonoma,Pinot Gris,Folie à Deux
88,55.0,California,Napa Valley,Napa,Meritage,Franciscan
88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gård
88,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
88,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Soquel Vineyards
88,18.0,New York,Finger Lakes,Finger Lakes,Pinot Gris,Ventosa
87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
87,26.0,California,Santa Clara Valley,Central Coast,Zinfandel,Martin Ranch
87,85.0,California,Yountville,Napa,Cabernet Sauvignon,Piña
87,18.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Pull
87,18.0,California,Paso Robles,Central Coast,Chardonnay,Pull
87,25.0,California,Santa Ynez Valley,Central Coast,Grenache Blanc,R2
92,36.0,California,Alexander Valley,Sonoma,Chardonnay,Matrix
92,39.0,California,Rockpile,Sonoma,Zinfandel,Mauritson
92,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Silverado
91,78.0,California,Napa Valley,Napa,Cabernet Sauvignon,Clark-Clauden
90,17.0,California,Santa Lucia Highlands,Central Coast,Riesling,Banyan
91,85.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Terra Valentine
91,64.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
91,35.0,California,Monterey,Central Coast,Rhône-style Red Blend,Wrath
91,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Yardstick
91,55.0,California,Carmel Valley,Central Coast,Pinot Noir,Albatross Ridge
91,46.0,California,Paso Robles,Central Coast,Syrah,Alta Colina
91,36.0,California,Santa Cruz Mountains,Central Coast,Syrah,Big Basin
91,35.0,California,Paso Robles,Central Coast,Red Blend,Chronic Cellars
91,28.0,California,Edna Valley,Central Coast,Riesling,Claiborne & Churchill
91,28.0,California,Paso Robles,Central Coast,Cabernet Franc,Dracaena
91,95.0,California,Napa Valley,Napa,Merlot,Duckhorn
91,44.0,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
91,38.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
88,25.0,California,Sonoma Valley,Sonoma,Syrah,Kenwood
88,23.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Manzoni
88,36.0,California,Arroyo Seco,Central Coast,Pinot Noir,McIntyre Vineyards
88,35.0,California,Sonoma Coast,Sonoma,Chardonnay,Anaba
90,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
90,28.0,California,Nevada County,Sierra Foothills,Cabernet Franc,Sierra Starr
90,30.0,California,Paso Robles,Central Coast,G-S-M,J. Lohr
90,25.0,California,Arroyo Seco,Central Coast,Chardonnay,J. Lohr
90,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Courtney Benham
90,32.0,California,Dry Creek Valley,Sonoma,Zinfandel,Del Carlo Winery
90,48.0,California,Paso Robles,Central Coast,Red Blend,MCV
90,36.0,California,Dry Creek Valley,Sonoma,Rhône-style Red Blend,Mounts
90,20.0,California,Napa Valley,Napa,Fumé Blanc,Robert Mondavi
90,40.0,California,Sonoma Coast,Sonoma,Chardonnay,Sixteen by Twenty
85,15.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Wagner
85,14.0,New York,Cayuga Lake,Finger Lakes,Riesling,Treleaven
85,18.0,California,Napa Valley,Napa,Red Blend,Benessere
85,16.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Bloomer Creek
85,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
85,49.0,California,Santa Barbara County,Central Coast,Syrah,Testarossa
85,85.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Meeker
85,34.0,California,Napa Valley,Napa,Sangiovese,Falcor
85,15.0,California,Russian River Valley,Sonoma,Chardonnay,Hayman & Hill
85,30.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Hermann J. Wiemer
85,25.0,California,Sonoma Mountain,Sonoma,Merlot,Work
85,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amity
85,49.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Blue Rock
85,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cherry Hill
85,35.0,California,Amador County,Sierra Foothills,Zinfandel,Cloud 9
89,45.0,California,St. Helena,Napa,Petite Sirah,David Fulton
89,40.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
89,39.0,California,Napa Valley,Napa,Red Blend,Beaver Creek
89,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Byron
89,20.0,California,Sonoma County,Sonoma,Zinfandel,St. Francis
89,30.0,California,Napa Valley,Napa,Cabernet Sauvignon,Trailhead
92,34.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Cambria
92,52.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,J. Christopher
92,60.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
92,125.0,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
87,35.0,California,Paso Robles,Central Coast,Cabernet Sauvignon-Syrah,Treana
87,15.0,California,Napa Valley,Napa,Cabernet Sauvignon,Aquinas
87,28.0,California,Napa Valley,Napa,Sangiovese,Benessere
87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buried Cane
87,40.0,California,Napa Valley,Napa,Cabernet Sauvignon,Mount Veeder
87,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Robert Mondavi
86,11.0,New York,Finger Lakes,Finger Lakes,Vignoles,Lucas Vineyards
86,16.0,California,Knights Valley,Sonoma,White Blend,Beringer
86,40.0,California,Central Coast,Central Coast,Red Blend,Clos La Chance
82,48.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pezzi King
96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
95,200.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
95,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
88,160.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Sebastiani
88,18.0,California,Rutherford,Napa,Sauvignon Blanc,Vinoce
88,34.0,California,Russian River Valley,Sonoma,Merlot,Merriam
88,17.0,California,Alexander Valley,Sonoma,Sauvignon Blanc,Murphy-Goode
88,25.0,California,Edna Valley,Central Coast,Pinot Noir,Kynsi
87,12.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Bridlewood
85,16.0,California,California,California Other,Zinfandel,Cline
85,15.0,California,California,California Other,Red Blend,Vinavanti
85,45.0,California,Santa Barbara County,Central Coast,Syrah,Vino V
85,20.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,McGregor
85,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Miles
85,12.0,California,California,California Other,Cabernet Sauvignon,Morro Bay
85,14.0,New York,Finger Lakes,Finger Lakes,Riesling,Red Newt Cellars
89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Guardian
89,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Grenache Blanc,Kerloo
89,30.0,California,California,California Other,White Blend,Las Positas
89,18.0,New York,New York,New York Other,Rosé,Lieb
89,35.0,New York,North Fork of Long Island,Long Island,Sparkling Blend,Macari
89,42.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Milbrandt
89,30.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Ojai
89,24.0,California,Templeton Gap District,Central Coast,Tempranillo,ONX
89,16.0,Washington,Snipes Mountain,Columbia Valley,Riesling,Pomum
89,27.0,California,Santa Barbara County,Central Coast,Grenache Blanc,Prospect 772
89,54.0,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Trione
89,38.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Walla Walla Vintners
89,35.0,New York,Long Island,Long Island,Cabernet Franc,Wölffer
88,32.0,California,Sonoma Valley,Sonoma,Zinfandel,Dunbar
88,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Flying Cloud
92,40.0,California,Carneros,Napa-Sonoma,Chardonnay,Robert Mondavi
92,45.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Rusack
92,50.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Chehalem
92,29.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Chehalem
92,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
92,130.0,California,Rutherford,Napa,Cabernet Sauvignon,Bell
92,88.0,California,Napa Valley,Napa,Red Blend,Castello di Amorosa
87,45.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Sparkman
87,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Babcock
87,13.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Lyeth
87,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sangiovese,Zerba Cellars
87,35.0,Washington,Red Mountain,Columbia Valley,Red Blend,Insania
87,12.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Knapp
87,18.0,California,El Dorado,Sierra Foothills,Chardonnay,Lava Cap
87,30.0,California,Suisun Valley,North Coast,Cabernet Franc,MICA Cellars
87,17.0,California,Carneros,Napa-Sonoma,Pinot Noir,Michael Pozzan
87,15.0,California,Lodi,Central Valley,Verdelho,Fenestra
87,19.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Hanna
87,28.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Camaraderie
87,28.0,Washington,Yakima Valley,Columbia Valley,Tempranillo,Camaraderie
91,65.0,California,Napa Valley,Napa,Red Blend,Beringer
91,48.0,California,Monterey County,Central Coast,Chardonnay,Big Basin
91,90.0,California,Chiles Valley,Napa,Cabernet Sauvignon,Conn Creek
91,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,D.R. Stephens
91,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Family
91,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Family
91,36.0,California,Calaveras County,Sierra Foothills,Grenache,Prospect 772
91,35.0,California,Edna Valley,Central Coast,Marsanne,Qupé
91,35.0,California,Edna Valley,Central Coast,Grenache,Qupé
91,55.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Rex Hill
91,65.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Ruby
91,35.0,Washington,Horse Heaven Hills,Columbia Valley,Syrah,Structure
91,49.0,California,Arroyo Grande Valley,Central Coast,Chardonnay,Testarossa
91,55.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Tumwater
91,45.0,California,Russian River Valley,Sonoma,Pinot Noir,Joseph Jewell
91,50.0,Oregon,Oregon,Oregon Other,Sparkling Blend,Le Cadeau
91,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
91,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
91,38.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Le Vigne
91,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Northstar
91,110.0,California,Napa Valley,Napa,Cabernet Sauvignon,Padis
91,45.0,Oregon,Umpqua Valley,Southern Oregon,Pinot Noir,Paul O'Brien
93,42.0,California,Edna Valley,Central Coast,Pinot Noir,Claiborne & Churchill
93,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Flying Goat Cellars
93,42.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Flying Goat Cellars
93,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Midsummer Cellars
93,54.0,California,Templeton Gap District,Central Coast,Red Blend,ONX
93,85.0,California,Napa Valley,Napa,Cabernet Sauvignon,Les Belles Collines
93,50.0,California,Sonoma Coast,Sonoma,Chardonnay,Lutum
93,150.0,California,Ballard Canyon,Central Coast,Sangiovese,Turiya
93,85.0,California,Green Valley,Sonoma,Pinot Noir,Iron Horse
93,35.0,California,Carneros,Napa-Sonoma,Chardonnay,Artesa
93,46.0,California,Sonoma Valley,Sonoma,Zinfandel,Carlisle
93,75.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Passing Time
93,40.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Sanctuary
93,25.0,California,Sierra Foothills,Sierra Foothills,White Blend,Terre Rouge
93,48.0,California,Russian River Valley,Sonoma,Syrah-Grenache,Limerick Lane
93,45.0,California,Russian River Valley,Sonoma,Syrah,Limerick Lane
93,50.0,California,Sonoma Coast,Sonoma,Pinot Noir,Loring Wine Company
93,65.0,California,Napa Valley,Napa,Petite Sirah,Eighty Four
93,48.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Flying Goat Cellars
93,62.0,California,Paso Robles,Central Coast,Syrah,Four Lanterns
93,100.0,California,Central Coast,Central Coast,Red Blend,Turiya
93,53.0,California,Napa Valley,Napa,Cabernet Sauvignon,World's End
93,70.0,California,Howell Mountain,Napa,Cabernet Sauvignon,W.H. Smith
89,38.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Alleromb
89,50.0,Washington,Yakima Valley,Columbia Valley,Syrah,Ardor
89,25.0,California,Yolo County,Central Valley,Albariño,Berryessa Gap
89,17.0,New York,Finger Lakes,Finger Lakes,Rosé,Chateau Lafayette Reneau
89,13.0,California,California,California Other,Rosé,Cupcake
89,18.0,Washington,Washington,Washington Other,White Blend,Raconteur
89,26.0,Washington,Columbia Gorge (WA),Washington Other,Gewürztraminer,Savage Grace
89,18.0,Washington,Wahluke Slope,Columbia Valley,Merlot,Seven Falls
89,32.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Silvertip
89,25.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Stevens
89,17.0,California,Paso Robles,Central Coast,Chardonnay,Vintage Cowboy
89,41.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Kontos
89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,L'Ecole No. 41
89,36.0,California,Paso Robles,Central Coast,Sangiovese,Midnight
87,20.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Michael Pozzan
87,69.0,California,Oak Knoll District,Napa,Cabernet Sauvignon,Paoletti
87,36.0,New York,North Fork of Long Island,Long Island,Cabernet Franc,Peconic Bay Winery
87,25.0,Oregon,Rogue Valley,Southern Oregon,Grenache,Quady North
87,25.0,Oregon,Rogue Valley,Southern Oregon,Viognier,Quady North
87,20.0,Oregon,Chehalem Mountains,Willamette Valley,Grüner Veltliner,Raptor Ridge
87,17.0,California,Northern Sonoma,Sonoma,Sauvignon Blanc,Rodney Strong
87,54.0,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
87,40.0,California,Paso Robles,Central Coast,G-S-M,Sextant
87,45.0,California,Russian River Valley,Sonoma,Chardonnay,B Cellars
87,35.0,California,Calistoga,Napa,Merlot,Barlow
87,28.0,California,Edna Valley,Central Coast,Pinot Noir,Claiborne & Churchill
92,75.0,California,Russian River Valley,Sonoma,Pinot Noir,Walt
92,48.0,California,Dry Creek Valley,Sonoma,Zinfandel,Armida
92,37.0,California,Santa Maria Valley,Central Coast,Chardonnay,Foxen
92,25.0,California,California,California Other,Pinot Gris,Les Belles Collines
92,60.0,California,Sonoma Coast,Sonoma,Chardonnay,Melhill
92,40.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Niner
92,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Purple Hands
92,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Stone The Crows
92,35.0,California,Arroyo Seco,Central Coast,Grenache,Scratch
92,30.0,California,Mokelumne River,Central Valley,Zinfandel,St. Amant
92,70.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Stoller
90,40.0,California,Los Carneros,Napa-Sonoma,Chardonnay,Vine Cliff
90,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Va Piano
90,80.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Y Rousseau
90,65.0,California,Rockpile,Sonoma,Cabernet Sauvignon,Paradise Ridge
90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Poet's Leap
90,26.0,New York,North Fork of Long Island,Long Island,Riesling,Raphael
90,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Seven Hills
90,13.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Snoqualmie
90,45.0,California,Napa Valley,Napa,Petite Sirah,Stags' Leap Winery
90,26.0,New York,Long Island,Long Island,Riesling,The Grapes of Roth
90,38.0,California,Carneros,Napa-Sonoma,Cabernet Sauvignon,Truchard
90,28.0,California,Carneros,Napa-Sonoma,Pinot Noir,Acacia
90,32.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Array
90,35.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barrister
90,42.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Bunnell
90,30.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Chateau Ste. Michelle
90,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,Cobb
90,29.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Cooper-Garrod
91,90.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Mosquito Fleet
91,35.0,California,Santa Barbara County,Central Coast,Red Blend,Nadia
91,50.0,California,Livermore Valley,Central Coast,Malbec,Nottingham Cellars
91,65.0,California,Sonoma County,Sonoma,Cabernet Franc,Pride Mountain
91,20.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Woodinville Wine Cellars
91,38.0,California,Dry Creek Valley,Sonoma,Zinfandel,Dry Creek Vineyard
91,23.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Dutton Estate
91,48.0,California,Russian River Valley,Sonoma,Pinot Noir,Failla
91,32.0,California,Russian River Valley,Sonoma,Pinot Noir,Friedeman
85,13.0,Oregon,Oregon,Oregon Other,Pinot Noir,Rascal
85,16.0,California,California,California Other,Cabernet Sauvignon,Jack's House
85,32.0,California,Paso Robles,Central Coast,Tempranillo,Felten Cellars
85,33.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pech Merle
87,24.0,California,Sonoma Coast,Sonoma,Pinot Noir,William Knuttel
87,75.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Casa Larga
87,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,De Loach
87,22.0,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
87,35.0,California,Napa Valley,Napa,Zinfandel,Kuleto Estate
87,36.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Lane Tanner
87,34.0,California,Sonoma Coast,Sonoma,Pinot Noir,MacRostie
87,70.0,California,Temecula Valley,South Coast,Syrah,Monte De Oro
87,28.0,California,Dry Creek Valley,Sonoma,Syrah,Mounts
87,45.0,California,North Coast,North Coast,Syrah,Pax
87,32.0,California,Napa Valley,Napa,Red Blend,Robert Foley
92,40.0,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse
92,70.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
92,48.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
92,105.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Adelsheim
92,35.0,California,Arroyo Grande Valley,Central Coast,Sparkling Blend,Laetitia
92,38.0,California,Alexander Valley,Sonoma,Zinfandel,Bella
90,125.0,California,Rutherford,Napa,Cabernet Sauvignon,St. Supéry
90,17.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barnard Griffin
90,85.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Beacon Hill
90,34.0,Washington,Yakima Valley,Columbia Valley,Red Blend,Brian Carter Cellars
90,22.0,California,Santa Ynez Valley,Central Coast,Grenache Blanc,Buttonwood
90,20.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Chessman
90,50.0,California,Sonoma Valley,Sonoma,Syrah,Deerfield Ranch
90,39.0,Washington,Red Mountain,Columbia Valley,Merlot,Efeste
90,35.0,Washington,Ancient Lakes,Columbia Valley,Chardonnay,Efeste
90,15.0,Oregon,Oregon,Oregon Other,Riesling,Firesteed
90,27.0,California,Sierra Foothills,Sierra Foothills,Chardonnay,Iron Hub
90,125.0,California,Rutherford,Napa,Cabernet Sauvignon,Aiken
86,18.0,Washington,Wahluke Slope,Columbia Valley,Sauvignon Blanc,Finn Hill
86,22.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Keuka Spring
86,28.0,California,Paso Robles,Central Coast,Malbec,Still Waters
86,10.0,California,California,California Other,Merlot,Stomping Ground
86,26.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Columbia Winery
86,36.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Kontos
86,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
86,10.0,California,California,California Other,Chardonnay,Leaping Horse
86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Maryhill
90,20.0,California,Amador County,Sierra Foothills,Zinfandel,Easton
90,35.0,California,Edna Valley,Central Coast,Chardonnay,Edna Valley Vineyard
90,28.0,California,Santa Barbara County,Central Coast,Syrah,Fess Parker
90,15.0,Oregon,Oregon,Oregon Other,Pinot Gris,Firesteed
90,150.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Foretell
90,45.0,California,Temecula Valley,South Coast,Cabernet Franc,Gershon Bachus
90,45.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,West of Temperance
90,40.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Carabella
90,42.0,California,Ballard Canyon,Central Coast,Grenache,Casa Dumetz
90,42.0,California,Napa Valley,Napa,Merlot,Herencia
90,18.0,Oregon,Oregon,Oregon Other,Albariño,J. Scott Cellars
90,20.0,California,Los Carneros,Napa-Sonoma,Syrah,Cline
90,22.0,California,Napa Valley,Napa,Cabernet Sauvignon,Fuse
90,28.0,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
90,27.0,California,Dry Creek Valley,Sonoma,Petite Sirah,Kokomo
90,72.0,Washington,Yakima Valley,Columbia Valley,Cabernet Franc,Owen Roe
90,44.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Pacific Ridge
90,28.0,California,Napa Valley,Napa,Viognier,Phoenix Ranch
90,29.0,California,Santa Maria Valley,Central Coast,Pinot Noir,2nd Chance
90,58.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Bergevin Lane
90,70.0,California,Temecula Valley,South Coast,Syrah,Leonesse Cellars
90,39.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Market Vineyards
87,18.0,Oregon,Willamette Valley,Willamette Valley,Rosé,Fullerton
87,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Coelho
87,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Coelho
87,20.0,California,Shenandoah Valley (CA),Sierra Foothills,Muscat Blanc à Petits Grains,Terre Rouge
87,20.0,California,Amador County,Sierra Foothills,Zinfandel,Bella Grace
87,40.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Chehalem
87,29.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Chehalem
87,55.0,California,Livermore Valley,Central Coast,Bordeaux-style Red Blend,Cuda Ridge Wines
87,34.0,California,Russian River Valley,Sonoma,Pinot Noir,Ektimo Vineyards
87,27.0,Oregon,Rogue Valley,Southern Oregon,Viognier,Folin Cellars
87,17.0,California,Sonoma County,Sonoma,Chardonnay,Francis Coppola
87,65.0,California,Rutherford,Napa,Sangiovese,Frank Family
87,40.0,California,Los Carneros,Napa-Sonoma,Chardonnay,Vine Cliff
87,32.0,California,Yorkville Highlands,North Coast,Petit Verdot,Yorkville Cellars
87,38.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amalie Robert
87,15.0,California,Lodi,Central Valley,Cabernet Sauvignon,Archgate Cellars
87,24.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Carica
85,19.0,California,California,California Other,Cabernet Sauvignon,One Hope
85,23.0,California,Clarksburg,Central Valley,Viognier,Saddleback
85,35.0,California,Alexander Valley,Sonoma,Syrah,Alexander Valley Vineyards
85,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Covington
85,17.0,California,California,California Other,White Blend,Kendall-Jackson
85,16.0,California,Suisun Valley,North Coast,Viognier,Ledgewood Creek
85,15.0,California,North Coast,North Coast,White Blend,X
88,20.0,Oregon,Oregon,Oregon Other,Pinot Gris,Lachini
88,12.0,California,California,California Other,Sauvignon Blanc,Dancing Bull
